highway_flow.13 | Accel=-7.508712590140451 | Severity=7.508712590140451 | Time=102.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.45 | Accel=-9.0 | Severity=9.0 | Time=295.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.50 | Accel=-9.0 | Severity=9.0 | Time=326.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.51 | Accel=-9.0 | Severity=9.0 | Time=331.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.51 | Accel=-6.142370948195465 | Severity=6.142370948195465 | Time=332.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.51 | Accel=-4.500000000000013 | Severity=4.500000000000013 | Time=333.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.103 | Accel=-9.0 | Severity=9.0 | Time=643.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.133 | Accel=-6.722125056925229 | Severity=6.722125056925229 | Time=821.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.154 | Accel=-8.130893148666217 | Severity=8.130893148666217 | Time=949.0 | Lane=highway_2 | Reason=Emergency braking
ramp_flow.63 | Accel=-7.799184356722049 | Severity=7.799184356722049 | Time=1141.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.186 | Accel=-9.0 | Severity=9.0 | Time=1142.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.219 | Accel=-6.991445907992947 | Severity=6.991445907992947 | Time=1337.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.229 | Accel=-9.0 | Severity=9.0 | Time=1398.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.246 | Accel=-9.0 | Severity=9.0 | Time=1502.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.246 | Accel=-8.741726938193533 | Severity=8.741726938193533 | Time=1503.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.246 | Accel=-4.500000000000012 | Severity=4.500000000000012 | Time=1504.0 | Lane=highway_2 | Reason=Emergency braking
ramp_flow.85 | Accel=-5.7828296242505335 | Severity=5.7828296242505335 | Time=1537.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.258 | Accel=-4.556091455379603 | Severity=4.556091455379603 | Time=1620.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.261 | Accel=-4.501 | Severity=4.501 | Time=1624.0 | Lane=highway_2 | Reason=Emergency braking
